function_ID,run_ID,dim,FEVs,computing_time,comm_time,total_FEs,node_num,GPU_num,island_num,global_pop_size,island_size,interval,migration_rate,connection_rate,buffer_capacity,migration_topology,buffer_manage,regroup_option,EA_parameters
26,1,10,100.095167758893240,14.94,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,2,10,100.064743491067475,14.92,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,3,10,100.093337054375297,14.92,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,4,10,100.078578527742593,14.92,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,5,10,100.084319493864314,14.92,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,6,10,100.066450218032969,14.91,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,7,10,100.066556069401486,14.91,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,8,10,100.066450218032969,14.91,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,9,10,100.089625028287628,14.93,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,10,10,100.087073087378030,14.91,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,11,10,100.061014050724680,14.94,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,12,10,100.063183081889292,14.93,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,13,10,100.068650677223559,14.90,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,14,10,100.068610616728165,14.90,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
26,15,10,100.086998210549609,14.91,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,1,10,1.331368543162171,14.78,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,2,10,1.161127411100551,14.80,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,3,10,1.091088452248187,14.79,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,4,10,1.294641963795129,14.80,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
