function_ID,run_ID,dim,FEVs,computing_time,comm_time,total_FEs,node_num,GPU_num,island_num,global_pop_size,island_size,interval,migration_rate,connection_rate,buffer_capacity,migration_topology,buffer_manage,regroup_option,EA_parameters
25,1,10,179.694136685408012,7.07,7.07,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,2,10,186.968102150568939,7.08,7.08,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,3,10,187.344429624064560,7.06,7.06,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,4,10,176.831626347875954,7.12,7.12,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,5,10,166.381605643335206,7.09,7.09,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,6,10,182.523046811462336,7.07,7.07,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,7,10,179.295559308549400,7.12,7.12,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,8,10,185.751430190156498,7.09,7.09,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,9,10,177.242935195074551,7.13,7.13,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,10,10,190.098360031819539,7.12,7.12,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,11,10,177.735437017423919,7.08,7.08,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,12,10,175.761625161506799,7.10,7.10,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,13,10,176.831626347875954,7.13,7.13,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,14,10,189.720067429438132,7.12,7.12,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
25,15,10,180.145173275121579,7.11,7.11,106496.00,64,0,64,8192,128,100,0.0000,0.2500,128.0000,EDT,diversity,regroup,CR/F=0.9/0.5_rand/1/bin
